freq,unit,geo,2019
A,EUR_HAB,DE405,23100
A,EUR_HAB,DE406,33400
A,EUR_HAB,DE407,25800
A,EUR_HAB,DE408,21800
A,EUR_HAB,DE409,22600
A,EUR_HAB,DE40A,27100
A,EUR_HAB,DE40B,28600
A,EUR_HAB,DE40C,27700
A,EUR_HAB,DE40D,28700
A,EUR_HAB,DE40E,27300
A,EUR_HAB,DE40F,27900
A,EUR_HAB,DE40G,36700
A,EUR_HAB,DE40H,39000
A,EUR_HAB,DE40I,31100
A,EUR_HAB,DE5,48700
A,EUR_HAB,DE50,48700
A,EUR_HAB,DE501,51400
A,EUR_HAB,DE502,35000
A,EUR_HAB,DE6,67700
A,EUR_HAB,DE60,67700
A,EUR_HAB,DE600,67700
A,EUR_HAB,DE7,47100
A,EUR_HAB,DE71,52900
A,EUR_HAB,DE711,82400
A,EUR_HAB,DE712,97500
A,EUR_HAB,DE713,37500
A,EUR_HAB,DE714,65800
A,EUR_HAB,DE715,29600
A,EUR_HAB,DE716,29400
A,EUR_HAB,DE717,46300
A,EUR_HAB,DE718,49300
A,EUR_HAB,DE719,37200
A,EUR_HAB,DE71A,57900
A,EUR_HAB,DE71B,27000
A,EUR_HAB,DE71C,41100
A,EUR_HAB,DE71D,26200
A,EUR_HAB,DE71E,30500
A,EUR_HAB,DE72,35700
A,EUR_HAB,DE721,37400
A,EUR_HAB,DE722,35700
A,EUR_HAB,DE723,31900
A,EUR_HAB,DE724,39700
A,EUR_HAB,DE725,28000
A,EUR_HAB,DE73,37800
A,EUR_HAB,DE731,54200
A,EUR_HAB,DE732,38700
A,EUR_HAB,DE733,39000
A,EUR_HAB,DE734,31100
A,EUR_HAB,DE735,32400
A,EUR_HAB,DE736,38700
A,EUR_HAB,DE737,25900
A,EUR_HAB,DE8,29600
A,EUR_HAB,DE80,29600
A,EUR_HAB,DE803,39800
A,EUR_HAB,DE804,42100
A,EUR_HAB,DE80J,29200
A,EUR_HAB,DE80K,27200
A,EUR_HAB,DE80L,26700
A,EUR_HAB,DE80M,25900
A,EUR_HAB,DE80N,26600
A,EUR_HAB,DE80O,26000
A,EUR_HAB,DE9,38900
A,EUR_HAB,DE91,51300
A,EUR_HAB,DE911,82800
A,EUR_HAB,DE912,55600
A,EUR_HAB,DE913,196000
A,EUR_HAB,DE914,21600
A,EUR_HAB,DE916,29300
A,EUR_HAB,DE917,21100
A,EUR_HAB,DE918,28900
A,EUR_HAB,DE91A,22400
A,EUR_HAB,DE91B,21400
A,EUR_HAB,DE91C,36200
A,EUR_HAB,DE92,39900
A,EUR_HAB,DE922,31500
A,EUR_HAB,DE923,36200
A,EUR_HAB,DE925,29700
A,EUR_HAB,DE926,32100
A,EUR_HAB,DE927,32200
A,EUR_HAB,DE928,26500
A,EUR_HAB,DE929,47500
A,EUR_HAB,DE93,29300
A,EUR_HAB,DE931,30800
A,EUR_HAB,DE932,24700
A,EUR_HAB,DE933,25400
A,EUR_HAB,DE934,26200
A,EUR_HAB,DE935,29600
A,EUR_HAB,DE936,21400
A,EUR_HAB,DE937,33500
A,EUR_HAB,DE938,35600
A,EUR_HAB,DE939,32500
A,EUR_HAB,DE93A,28800
A,EUR_HAB,DE93B,33100
A,EUR_HAB,DE94,36800
A,EUR_HAB,DE941,23600
A,EUR_HAB,DE942,75100
A,EUR_HAB,DE943,48800
A,EUR_HAB,DE944,52100
A,EUR_HAB,DE945,42400
A,EUR_HAB,DE946,32400
A,EUR_HAB,DE947,27300
A,EUR_HAB,DE948,35600
A,EUR_HAB,DE949,44000
A,EUR_HAB,DE94A,28000
A,EUR_HAB,DE94B,33700
A,EUR_HAB,DE94C,27000
A,EUR_HAB,DE94D,25800
A,EUR_HAB,DE94E,31800
A,EUR_HAB,DE94F,46300
A,EUR_HAB,DE94G,33500
A,EUR_HAB,DE94H,28300
A,EUR_HAB,DEA,40000
A,EUR_HAB,DEA1,42500
A,EUR_HAB,DEA11,83900
A,EUR_HAB,DEA12,35700
A,EUR_HAB,DEA13,45200
A,EUR_HAB,DEA14,41500
A,EUR_HAB,DEA15,34700
A,EUR_HAB,DEA16,36300
A,EUR_HAB,DEA17,27200
A,EUR_HAB,DEA18,38200
A,EUR_HAB,DEA19,32800
A,EUR_HAB,DEA1A,37800
A,EUR_HAB,DEA1B,32100
A,EUR_HAB,DEA1C,42500
A,EUR_HAB,DEA1D,40200
A,EUR_HAB,DEA1E,29800
A,EUR_HAB,DEA1F,30100
A,EUR_HAB,DEA2,43600
A,EUR_HAB,DEA22,76100
A,EUR_HAB,DEA23,61100
A,EUR_HAB,DEA24,51700
A,EUR_HAB,DEA26,30700
A,EUR_HAB,DEA27,36700
A,EUR_HAB,DEA28,28300
A,EUR_HAB,DEA29,26700
A,EUR_HAB,DEA2A,37000
A,EUR_HAB,DEA2B,29200
A,EUR_HAB,DEA2C,28900
A,EUR_HAB,DEA2D,39200
A,EUR_HAB,DEA3,34800
A,EUR_HAB,DEA31,24100
A,EUR_HAB,DEA32,32100
A,EUR_HAB,DEA33,57700
A,EUR_HAB,DEA34,39100
A,EUR_HAB,DEA35,29900
A,EUR_HAB,DEA36,27100
A,EUR_HAB,DEA37,33700
A,EUR_HAB,DEA38,32700
A,EUR_HAB,DEA4,39500
A,EUR_HAB,DEA41,42600
A,EUR_HAB,DEA42,50400
A,EUR_HAB,DEA43,35200
A,EUR_HAB,DEA44,29000
A,EUR_HAB,DEA45,31500
