Name,Address,City,Country,Latitude,Longitude
Rituals Seiersberg, Seiersberg 1,Seiersberg-Pirka,Austria,47.0106571,15.4041862
Rituals Vöcklabruck Varena, Linzerstraße 50,Vöcklabruck,Austria,48.0025652,13.6698132
Rituals Krems Mariandl, Wiener Straße 91,Krems,Austria,48.4172277,15.6198227
Rituals Linz Landstraße,Landstraße 22,Linz,Austria,48.3030085,14.2889051
Rituals Wien Donauzentrum, Wagramer Str. 81,Wien,Austria,48.2415643,16.4373378
Rituals Graz Herrengasse,Herrengasse 28,Graz,Austria,47.0689731,15.4409358
Rituals Parndorf Designer Outlet, Designer Outlet Straße 1,Parndorf,Austria,47.9758977,16.8512868
Rituals Sankt Pölten Traisenpark, Dr Adolf-Schärf-Straße 5,Sankt Pölten,Austria,48.2232393,15.638476500460921
Rituals Innsbruck Rathaus Galerien, Maria-Theresien-Straße 18,Innsbruck,Austria,47.2656306,11.3933802
Rituals Wien Westbahnhof, Europaplatz 2,Wien,Austria,48.1968541,16.3389933
Rituals Klagenfurt City Arkaden,Heuplatz. 5,Klagenfurt,Austria,46.6270845,14.3086168
Rituals Pasching Plus City, Plus-Kauf-Straße 7,Pasching,Austria,48.2429727,14.2354739
Rituals Vösendorf SCS,SCS Straße,Vösendorf,Austria,48.1142775,16.3135092
Rituals Innsbruck DEZ, Amraser-See-Straße 56a,Innsbruck,Austria,47.26256425,11.430833776908075
Rituals Tournai,Boulevard Walter de Marvis 22,Tournai,Belgium,50.6024969,3.4045078
Rituals Antwerpen Meir,Meir 77,Antwerpen,Belgium,51.2182843,4.41005233240155
Rituals Geraardsbergen,Grotestraat 63,Geraardsbergen,Belgium,50.77195555,3.8769612504933466
Rituals Luik Rocourt,Chaussée de Tongres 269,Luik,Belgium,50.6710621,5.5450292
Rituals Maasmechelen Village,Zetellaan 100,Maasmechelen,Belgium,51.00104775,5.707167729359057
Rituals Brussel Avenue Louise,Avenue Louise 25,Brussel,Belgium,50.834511,4.3562478
Rituals Messancy, Rue d'Arlon 220,Messancy,Belgium,49.6148193,5.8116335
Rituals Charleroi Rive Gauche,Place Verte 20,Charleroi,Belgium,50.4078547,4.442417952829432
Rituals Ieper,Boterstraat 26,Ieper,Belgium,50.8505238,2.88325885177725
Rituals Brugge Steenstraat,Steenstraat 48,Brugge,Belgium,51.207186199999995,3.2224408286639687
Rituals La Louvière,Rue de la Franco-Belge 28,La Louvière,Belgium,50.4847681,4.2111922
Rituals Lommel,Dorp 23A,Lommel,Belgium,51.2307224,5.3091394
Rituals Gent Kalandeberg,Kalandeberg 13,Gent,Belgium,51.0515205,3.725455
Rituals Luik Mediacité,Boulevard Raymond Poincare 7,Luik,Belgium,50.6344858,5.5808601
Rituals Oudenaarde,Nederstraat 57,Oudenaarde,Belgium,50.8454762,3.6030199870879107
Rituals Uccle,Waterloosesteenweg 1338,Uccle,Belgium,50.7899864,4.3749631
Rituals Brussel Rue Neuve,Rue Neuve 35,Brussel,Belgium,50.8517929,4.3550388
Rituals Brussel Rue des Tongres,Rue des Tongres 47,Brussel,Belgium,50.8400815,4.400657575000004
Rituals Brussel Avenue de l'Université,Avenue de l'Université 4,Brussel,Belgium,50.815409,4.3894997
Rituals Namur,rue de l'Ange 35-37,Namur,Belgium,50.4633929,4.8658877
Rituals Brussel Docks,Boulevard Lambermont 1,Brussel,Belgium,50.87966885,4.373179687203784
Rituals Ninove,Kaardeloodstraat 97,Ninove,Belgium,50.8348714,4.0200125
Rituals Woluwe,Sint Lambertusstraat 200,Woluwe,Belgium,50.844686,4.4365855
Rituals Blankenberge,Kerkstraat 79,Blankenberge,Belgium,51.3143336,3.1301009
Rituals Mons,Place des Grands Pres 1,Mons,Belgium,50.455928,3.9321651
Rituals Heist op den Berg,Bergstraat 83,Heist op den Berg,Belgium,51.07619525,4.721361901334555
Rituals Wavre,Rue Pont du Christ 23,Wavre,Belgium,50.7156843,4.6100774
Rituals Wijnegem,Turnhoutsebaan 5,Wijnegem,Belgium,51.22222845,4.501580108016817
Rituals Oostende,Kapellestraat 12/14,Oostende,Belgium,51.2276677,2.9215395
Rituals Sint Truiden,Luikerstraat 4,St Truiden,Belgium,50.81511615,5.187297844048095
Rituals Roeselare,Ooststraat 59,Roeselare,Belgium,50.94683765,3.1267180493315507
Rituals Waregem,Markt 7,Waregem,Belgium,50.8862433,3.4320379
